classname,post-release-bugs,pre-release-bugs,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy
org::apache::lucene::index::CompoundFileWriter,0,5,15,3,0,7,192,117,12.8,146,60,9.73333,262.857,46.6734,11,1,4,7,15,0,6,0,147,6,9,6,1,0,4,52,22,9.12701,0.0427676,0.0607724,0.32498,0.144619
org::apache::lucene::index::ConcurrentMergeScheduler,2,18,16,4,0,1,244,70,15.25,153,27,9.5625,55.1429,11.1259,15,2,11,5,190,1,11,0,182,20,11,6,4,1,11,75,39,10.9738,0.24706,0.144352,3.63831,0.320737
org::apache::lucene::index::CorruptIndexException,0,1,1,0,0,1,1,1,1,1,1,1,85,0,5,1,5,0,0,0,0,0,3,1,27,0,0,0,1,1,1,1.09884,0.00126433,0.00252752,0.0291281,0.00157239
org::apache::lucene::index::DefaultSkipListReader,0,2,3,0,0,1,116,114,38.6667,116,114,38.6667,70.8571,49.8498,3,2,1,2,28,0,7,0,58,8,17,7,0,0,0,17,10,2.55842,0.0486157,0.0156888,0.0899649,0.053001
org::apache::lucene::index::DefaultSkipListWriter,0,2,3,0,0,2,129,124,43,127,124,42.3333,70.8571,50.6622,6,2,4,2,15,0,11,0,79,6,15,11,0,0,0,18,10,3.69563,0.0541249,0.0372384,0.158247,0.12715
org::apache::lucene::index::DirectoryIndexReader,4,9,10,0,1,3,232,65,23.2,23,10,2.3,54.8571,26.8972,17,2,4,14,190,2,10,2,295,20,58,7,0,0,9,101,54,9.24384,0.224015,0.105203,0.42435,0.342104
org::apache::lucene::index::DocConsumer,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,2,1,2,0,10,1,0,0,0,5,9,0,0,0,0,5,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocConsumerPerThread,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,1,1,1,0,1,1,0,0,0,2,9,0,0,0,0,2,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocFieldConsumer,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,4,1,4,0,15,3,1,0,3,6,9,0,0,1,0,6,1,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocFieldConsumerPerField,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,3,1,3,0,1,3,0,0,0,2,9,0,0,0,0,2,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocFieldConsumerPerThread,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,3,1,3,0,6,3,0,0,0,4,9,0,0,0,0,4,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocFieldConsumers,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,4,2,2,4,36,0,5,1,80,9,15,0,0,5,6,35,13,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocFieldConsumersPerField,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,2,2,1,1,3,0,3,0,16,3,11,0,0,3,3,6,3,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocFieldConsumersPerThread,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,3,2,1,3,10,0,4,0,37,5,13,0,0,4,5,12,7,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocFieldProcessor,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,3,2,0,3,15,0,3,0,37,6,14,0,0,3,6,22,7,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocFieldProcessorPerField,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,3,1,1,2,1,0,6,0,7,2,9,0,0,6,2,4,2,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocFieldProcessorPerThread,0,2,2,0,1,1,3,2,1.5,3,2,1.5,11.7143,1.71429,9,2,1,8,21,0,11,0,238,7,11,0,1,11,4,52,41,1.54522,0.00137637,0.0273145,0.0891453,0.0962259
org::apache::lucene::index::DocHelper,0,6,15,3,0,7,231,71,15.4,143,34,9.53333,241.714,111.39,10,1,7,3,6,0,56,0,21,4,9,0,1,27,3,15,5,11.4214,0.369933,0.0753887,0.411395,0.139189
org::apache::lucene::index::DocInverter,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,4,2,0,4,21,0,2,1,53,7,15,0,0,2,4,33,9,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocInverterPerField,3,2,2,0,1,1,3,2,1.5,11,10,5.5,11.7143,3.14286,14,2,1,13,3,0,6,0,130,3,11,2,0,4,2,35,18,2.2048,0.00530609,0.0438039,0.136638,0.145088
org::apache::lucene::index::DocInverterPerThread,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,6,2,1,5,10,0,7,0,26,5,13,0,0,7,4,14,5,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::DocumentsWriter,2,42,49,9,1,3,2311,644,47.1633,3683,2030,75.1633,66,35.1323,34,1,9,27,2415,0,60,0,829,70,9,25,11,19,0,263,177,13.9297,1.5636,0.121367,3.64623,0.318946
org::apache::lucene::index::DocumentsWriterThreadState,1,5,5,0,1,1,36,19,7.2,705,688,141,30,8.69048,3,1,1,2,1,0,6,0,13,2,9,0,0,6,1,4,2,3.17313,0.211347,0.0313166,0.136571,0.120185
org::apache::lucene::index::FieldInfo,1,5,10,0,1,6,100,43,10,65,51,6.5,368.143,283.449,1,1,1,0,3,0,9,0,38,3,9,0,0,9,1,4,10,7.31651,0.0320039,0.039384,0.237557,0.10427
org::apache::lucene::index::FieldInfos,1,6,25,3,1,11,398,110,15.92,238,51,9.52,368.143,198.416,18,1,14,4,78,0,9,0,107,13,9,2,2,0,9,52,32,11.3053,0.179749,0.0485387,0.342745,0.111945
org::apache::lucene::index::FieldInvertState,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,21,0,5,0,29,7,9,0,0,5,6,7,7,0,0,0,0,0
org::apache::lucene::index::FieldNormModifier,0,3,4,0,0,3,7,5,1.75,7,3,1.75,94,26.2857,11,1,1,10,3,0,2,0,86,3,9,2,0,0,3,46,18,4.63934,0.0116243,0.0882686,0.293469,0.209899
org::apache::lucene::index::FieldReaderException,0,0,4,1,0,3,97,79,24.25,88,79,22,121.571,84.5449,0,1,0,0,0,0,0,0,3,1,28,0,0,0,1,1,1,3.46402,0.0420774,0.0168468,0.111014,0.0522199
org::apache::lucene::index::FieldSortedTermVectorMapper,0,1,1,0,0,1,1,1,1,1,1,1,63.2857,0,4,2,3,1,10,0,4,0,19,5,15,4,0,0,5,9,5,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
org::apache::lucene::index::FieldsReader,1,24,43,6,1,10,1011,273,23.5116,491,73,11.4186,368.143,243.808,17,1,3,15,120,0,11,0,332,16,9,11,9,0,0,119,60,25.5769,0.799957,0.172332,0.926117,0.425781
org::apache::lucene::index::FieldsWriter,0,11,18,1,1,5,439,80,24.3889,238,56,13.2222,368.143,266.608,10,1,4,6,45,0,10,0,185,10,9,4,1,0,0,78,27,11.4058,0.297725,0.106372,0.471706,0.322137
org::apache::lucene::index::FilterIndexReader,0,8,27,0,1,9,245,61,9.07407,164,50,6.07407,259.143,99.2315,2,2,1,1,276,2,1,2,82,24,58,0,0,0,19,60,24,12.1251,0.0618058,0.0261315,0.313975,0.020353
org::apache::lucene::index::FormatPostingsDocsConsumer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,0,2,9,0,0,0,0,2,0,0,0,0,0,0
org::apache::lucene::index::FormatPostingsDocsWriter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,8,10,0,14,0,72,5,11,1,0,13,0,23,12,0,0,0,0,0
org::apache::lucene::index::FormatPostingsFieldsConsumer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,0,2,9,0,0,0,0,2,0,0,0,0,0,0
org::apache::lucene::index::FormatPostingsFieldsWriter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,4,3,0,7,0,35,3,11,0,0,7,1,11,3,0,0,0,0,0
org::apache::lucene::index::FormatPostingsPositionsConsumer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,0,2,9,0,0,0,0,2,0,0,0,0,0,0
org::apache::lucene::index::FormatPostingsPositionsWriter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,5,10,0,6,0,45,5,11,0,0,6,0,15,11,0,0,0,0,0
org::apache::lucene::index::FormatPostingsTermsConsumer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,1,1,1,0,8,2,9,0,0,1,0,6,3,0,0,0,0,0
org::apache::lucene::index::FormatPostingsTermsWriter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,10,0,8,1,30,5,11,0,0,8,0,11,6,0,0,0,0,0
org::apache::lucene::index::FreqProxFieldMergeState,0,2,2,0,1,1,17,16,8.5,9,8,4.5,11.7143,2.42017,4,1,1,3,3,0,12,0,56,3,9,2,0,10,2,10,10,1.54522,0.00830319,0.0273145,0.0891453,0.0962259
org::apache::lucene::index::FreqProxTermsWriter,0,2,2,0,1,1,61,60,30.5,41,40,20.5,11.7143,2.52927,14,2,0,14,45,0,3,1,229,10,16,2,1,1,2,53,43,1.54522,0.0346251,0.0273145,0.0891453,0.0962259
org::apache::lucene::index::FreqProxTermsWriterPerField,0,2,2,0,1,1,50,49,25,22,21,11,11.7143,2.52,7,2,2,5,55,0,7,0,96,11,15,0,0,7,3,25,22,1.54522,0.0242349,0.0273145,0.0891453,0.0962259
org::apache::lucene::index::FreqProxTermsWriterPerThread,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,2,2,1,1,10,0,2,0,13,5,13,0,0,2,3,6,5,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::GCJSegmentReader,0,0,4,0,0,2,15,6,3.75,11,5,2.75,211,45.5429,1,4,0,1,0,0,0,15,7,1,80,0,0,0,1,3,2,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::index::GCJTermDocs,0,0,2,0,0,2,7,6,3.5,6,5,3,211,95.2653,1,2,1,0,1,0,0,9,3,2,26,0,0,0,2,2,1,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::index::IndexCommit,0,6,7,1,0,1,35,13,5,4,2,0.571429,30.8571,17.4653,19,1,15,4,66,3,0,0,31,12,12,0,0,0,12,28,11,4.73438,0.0172413,0.070693,0.251368,0.231857
org::apache::lucene::index::IndexFileDeleter,3,20,23,2,1,4,792,405,34.4348,356,203,15.4783,98.7143,25.8036,17,1,5,12,91,0,11,0,319,14,9,9,4,2,4,130,66,18.3422,0.377512,0.114049,0.642115,0.303306
org::apache::lucene::index::IndexFileNameFilter,0,2,6,0,0,5,66,52,11,17,5,2.83333,173.857,76.8528,2,1,1,1,6,0,3,0,46,4,18,2,0,1,4,22,18,5.55317,0.033377,0.0600699,0.254036,0.110622
org::apache::lucene::index::IndexFileNames,0,6,13,2,0,6,175,89,13.4615,30,8,2.30769,173.857,98.0906,9,1,7,2,3,0,26,0,20,3,9,0,0,0,0,6,8,9.29826,0.0983306,0.0706476,0.358735,0.124037
org::apache::lucene::index::IndexModifier,0,13,22,3,0,7,230,106,10.4545,133,28,6.04545,174.286,66.6702,8,1,3,5,253,1,10,0,189,23,9,0,0,0,19,84,39,18.28,0.435033,0.0994431,0.611578,0.197629
org::apache::lucene::index::IndexReader,3,34,95,19,2,13,1990,132,20.9474,1099,202,11.5684,368.143,207.691,153,1,138,16,1225,6,5,0,214,50,9,3,1,0,39,124,48,31.8654,1.82971,0.166162,1.03245,0.362861
org::apache::lucene::index::IndexWriter,9,81,166,35,1,14,8602,1221,51.8193,4215,499,25.3916,368.143,296.037,91,1,66,28,7875,4,59,0,2630,126,9,45,47,3,55,908,484,39.6054,4.49023,0.242303,4.4516,0.535071
org::apache::lucene::index::IntBlockPool,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,4,1,2,2,3,0,7,0,29,3,9,1,0,6,3,6,6,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::InvertedDocConsumer,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,2,1,2,0,15,1,1,0,3,6,9,0,0,1,0,6,1,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::InvertedDocConsumerPerField,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,1,1,1,0,6,1,0,0,0,4,9,0,0,0,0,4,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::InvertedDocConsumerPerThread,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,2,1,2,0,6,1,0,0,0,4,9,0,0,0,0,4,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::InvertedDocEndConsumer,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,2,1,2,0,10,1,0,0,0,5,9,0,0,0,0,5,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::InvertedDocEndConsumerPerField,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,1,1,1,0,1,1,0,0,0,2,9,0,0,0,0,2,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::InvertedDocEndConsumerPerThread,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,2,1,2,0,6,1,0,0,0,4,9,0,0,0,0,4,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::KeepOnlyLastCommitDeletionPolicy,0,2,2,0,0,1,2,1,1,2,1,1,82.1429,25.6429,8,1,7,1,3,0,0,0,12,3,11,0,0,0,3,7,3,2.32375,0.00208052,0.00873391,0.0699581,0.0207461
org::apache::lucene::index::LogByteSizeMergePolicy,0,5,3,1,0,1,17,13,5.66667,7,5,2.33333,55.1429,3.59664,2,3,1,1,15,0,2,6,20,6,30,0,0,0,5,7,6,1.91372,0.0360644,0.00701735,0.0578775,0.0138548
org::apache::lucene::index::LogDocMergePolicy,0,4,2,1,0,1,5,4,2.5,19,18,9.5,55.1429,1.94286,6,3,6,0,6,1,1,6,17,4,30,0,0,0,3,4,4,1.36109,0.0170119,0.00489185,0.0409177,0.00931852
org::apache::lucene::index::LogMergePolicy,0,11,10,1,0,1,162,56,16.2,36,17,3.6,55.1429,11.0441,6,2,1,6,136,2,10,0,258,17,15,4,2,3,14,79,58,5.94911,0.118996,0.0281536,0.194325,0.079638
org::apache::lucene::index::MergeDocIDRemapper,1,1,1,0,0,1,1,1,1,1,1,1,30.8571,0,4,1,2,2,1,0,6,0,76,2,9,0,0,6,2,8,15,0.871061,0.00164027,0.00523142,0.0309637,0.0182075
org::apache::lucene::index::MergePolicy,0,9,8,1,0,1,72,19,9,24,13,3,55.1429,15.2698,1,1,1,0,15,1,0,0,3,6,9,0,0,0,0,7,1,5.84867,0.0546801,0.0269325,0.189716,0.074024
org::apache::lucene::index::MergeScheduler,0,6,4,0,0,1,10,5,2.5,7,3,1.75,55.1429,12.7143,1,1,1,0,1,3,0,0,0,2,9,0,0,0,0,2,0,3.38172,0.0124765,0.0152197,0.108803,0.0408162
org::apache::lucene::index::MockIndexInput,0,0,3,0,0,3,10,6,3.33333,12,6,4,211.857,68.2286,2,3,1,1,10,0,3,2,28,5,44,3,0,0,3,6,7,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::index::MultiLevelSkipListReader,0,2,3,1,0,1,277,273,92.3333,275,273,91.6667,70.8571,50.0469,6,1,2,4,45,1,14,0,140,10,9,14,2,0,1,33,31,3.64568,0.113522,0.0188846,0.120786,0.057021
org::apache::lucene::index::MultiLevelSkipListWriter,0,1,2,0,0,1,152,151,76,152,151,76,70.8571,50.3806,5,1,2,3,15,1,3,0,66,6,9,3,0,0,0,19,18,2.54818,0.0628148,0.0156063,0.0895288,0.052754
org::apache::lucene::index::MultiReader,1,16,35,7,1,9,711,203,20.3143,771,433,22.0286,241.857,126.647,9,2,2,7,378,0,8,2,215,28,58,7,3,0,19,84,57,19.4587,0.539004,0.101951,0.639779,0.189407
org::apache::lucene::index::MultiSegmentReader,1,6,7,2,1,3,692,475,98.8571,514,475,73.4286,62.8571,11.8214,14,3,2,12,435,1,7,5,300,30,78,6,2,0,16,124,75,5.96254,0.289126,0.0817368,0.31309,0.187653
org::apache::lucene::index::MultipleTermPositions,0,3,12,1,0,6,223,160,18.5833,318,199,26.5,324.857,161.475,6,2,1,5,66,0,4,0,74,12,20,4,0,0,12,49,22,5.80413,0.263764,0.0613751,0.263233,0.112092
org::apache::lucene::index::NormsWriter,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,5,2,0,5,21,0,2,0,125,7,14,2,0,0,3,37,23,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::NormsWriterPerField,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,5,2,2,3,10,0,7,0,32,5,11,0,0,7,3,12,8,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::NormsWriterPerThread,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,2,2,1,1,15,0,2,0,13,6,13,0,0,2,1,7,6,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::ParallelReader,0,15,22,4,1,7,413,118,18.7727,138,23,6.27273,177.857,87.8565,10,2,3,7,325,0,9,2,267,26,58,8,0,1,20,156,67,19.4885,0.70161,0.0716809,0.563933,0.140551
org::apache::lucene::index::Payload,0,5,6,0,0,2,397,167,66.1667,312,163,52,81.8571,62.0507,14,1,9,5,55,0,3,0,76,11,27,0,0,0,11,21,23,6.8389,0.252059,0.0567121,0.26789,0.169496
org::apache::lucene::index::PositionBasedTermVectorMapper,0,4,2,0,0,2,2,1,1,2,1,1,60,2.42857,2,2,1,1,10,0,4,0,35,5,15,4,0,0,5,14,10,1.76352,0.00506796,0.00596275,0.052058,0.0101467
org::apache::lucene::index::RawPostingList,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,0,1,0,0,0,1,4,0,0,0,9,0,0,3,0,0,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::ReadOnlyMultiSegmentReader,0,1,1,0,0,1,1,1,1,1,1,1,6.57143,0,2,4,1,1,1,0,0,6,6,2,106,0,0,0,0,3,2,1.35264,0.000832763,0.0350566,0.101164,0.0995792
org::apache::lucene::index::ReadOnlySegmentReader,0,1,1,0,0,1,1,1,1,1,1,1,6.57143,0,3,4,1,2,3,0,0,15,9,3,80,0,0,0,1,6,4,1.35264,0.000832763,0.0350566,0.101164,0.0995792
org::apache::lucene::index::ReusableStringReader,0,1,1,0,0,1,1,1,1,1,1,1,30,0,2,1,1,1,3,0,3,0,22,3,29,0,0,3,2,7,5,0.60098,0.00038181,0.00388466,0.0219358,0.0141336
org::apache::lucene::index::SegmentInfo,1,14,20,2,0,6,810,287,40.5,196,53,9.8,368.143,284.59,22,1,13,9,435,0,19,0,467,30,9,11,2,4,5,116,114,11.3676,0.375406,0.114134,3.5767,0.217353
org::apache::lucene::index::SegmentInfos,4,21,35,5,0,9,1117,483,31.9143,375,62,10.7143,368.143,275.335,29,1,19,11,528,0,19,0,306,33,0,8,2,2,27,107,53,19.5286,0.729388,0.146444,0.739952,0.360125
org::apache::lucene::index::SegmentMergeInfo,0,1,6,0,0,4,48,17,8,73,51,12.1667,368.143,170.17,6,1,3,3,10,0,6,0,44,5,9,2,0,4,0,14,12,3.2211,0.0508607,0.00528871,0.078161,0.00123854
org::apache::lucene::index::SegmentMergeQueue,0,0,3,0,0,3,20,13,6.66667,57,51,19,368.143,166.193,5,2,2,3,3,0,0,1,16,3,19,0,0,0,0,8,5,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::index::SegmentMerger,1,22,51,6,0,11,1172,174,22.9804,637,75,12.4902,368.143,235.447,27,1,3,25,136,0,18,0,507,17,9,16,8,1,0,175,104,28.939,0.782803,0.155437,0.956831,0.363135
org::apache::lucene::index::SegmentReader,4,32,76,8,2,13,1663,357,21.8816,837,80,11.0132,368.143,231.52,3,3,1,2,6,2,26,5,22,4,78,16,2,10,2,18,6,26.0888,0.956908,0.158873,0.900412,0.365193
org::apache::lucene::index::SegmentTermDocs,0,3,20,5,0,8,301,77,15.05,241,80,12.05,368.143,198.82,8,1,3,5,55,3,16,0,128,11,16,7,1,2,6,39,37,5.5234,0.183774,0.0318983,0.185197,0.0817897
org::apache::lucene::index::SegmentTermEnum,0,6,16,2,0,7,164,39,10.25,139,51,8.6875,368.143,174.308,7,2,2,5,66,0,15,0,132,12,24,8,0,7,4,44,26,8.26464,0.0367494,0.0385824,0.264742,0.113436
org::apache::lucene::index::SegmentTermPositionVector,0,1,3,0,0,3,8,6,2.66667,7,5,2.33333,209.143,99.4107,1,2,1,0,3,0,3,0,26,3,31,0,0,0,3,3,9,2.99256,0.00675117,0.00705617,0.0796972,0.00545641
org::apache::lucene::index::SegmentTermPositions,0,6,20,3,0,8,196,74,9.8,113,51,5.65,368.143,251.561,3,2,0,3,105,0,7,9,129,15,37,7,4,0,7,34,31,8.72787,0.0676164,0.0431024,0.280232,0.10439
org::apache::lucene::index::SegmentTermVector,0,1,6,1,0,4,34,26,5.66667,62,49,10.3333,241.714,56.9538,3,1,1,2,28,1,3,0,50,8,15,3,0,0,7,18,15,2.88097,0.0053968,0.0551741,0.187772,0.108062
org::apache::lucene::index::SegmentWriteState,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,1,0,8,0,13,2,9,0,0,8,2,3,2,0,0,0,0,0
org::apache::lucene::index::SerialMergeScheduler,0,5,3,0,0,1,2,1,0.666667,3,1,1,55.1429,3.64286,7,2,6,1,3,1,0,0,10,3,11,0,0,0,3,5,4,2.69376,0.00247675,0.0103373,0.0825889,0.0220653
org::apache::lucene::index::SnapshotDeletionPolicy,0,5,6,1,0,1,39,16,6.5,18,8,3,44.1429,15.4872,5,1,1,4,15,0,3,0,31,6,11,3,1,0,5,22,9,5.97302,0.0391736,0.0658061,0.27076,0.198475
org::apache::lucene::index::SortedTermVectorMapper,0,1,1,0,0,1,1,1,1,1,1,1,63.2857,0,4,2,2,2,6,0,5,0,59,4,15,4,0,0,4,19,21,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
org::apache::lucene::index::StaleReaderException,0,1,1,0,0,1,1,1,1,1,1,1,85,0,1,1,1,0,0,0,0,0,3,1,27,0,0,0,1,1,1,1.09884,0.00126433,0.00252752,0.0291281,0.00157239
org::apache::lucene::index::StoredFieldsWriter,1,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,8,2,1,7,55,0,6,1,116,11,15,0,1,6,5,41,22,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::StoredFieldsWriterPerField,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,6,2,1,5,3,0,3,0,31,3,11,0,0,3,2,10,6,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::StoredFieldsWriterPerThread,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,3,2,1,2,10,0,4,0,32,5,13,0,0,4,5,9,7,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::Term,0,2,14,3,0,8,73,13,5.21429,73,51,5.21429,368.143,194.02,74,1,72,2,45,0,2,0,37,10,18,0,1,2,7,18,16,7.01764,0.0477485,0.0418079,0.233481,0.103884
org::apache::lucene::index::TermBuffer,0,1,3,0,0,3,63,56,21,43,37,14.3333,208.714,171.002,9,1,1,8,36,0,6,0,79,9,18,6,1,0,5,30,16,2.54988,0.0773077,0.0095867,0.0759522,0.0250941
org::apache::lucene::index::TermEnum,0,0,6,0,0,4,49,23,8.16667,65,51,10.8333,368.143,132.746,42,1,41,1,15,6,0,0,7,6,9,0,0,0,6,9,3,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::index::TermInfo,0,0,4,0,0,3,29,13,7.25,61,51,15.25,368.143,152.256,2,1,2,0,1,0,4,0,12,2,9,0,0,4,0,2,2,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::index::TermInfosReader,1,14,26,1,0,9,334,89,12.8462,221,51,8.5,368.143,251.482,8,1,1,7,105,0,13,0,154,15,9,13,5,0,5,55,39,11.8687,0.381633,0.0913715,0.46058,0.204893
org::apache::lucene::index::TermInfosWriter,0,5,16,0,0,8,272,78,17,203,61,12.6875,368.143,258.475,10,1,2,8,21,0,19,0,114,7,9,11,5,5,0,35,26,9.59891,0.287962,0.0310337,0.273717,0.0697348
org::apache::lucene::index::TermVectorAccessor,0,1,1,0,0,1,1,1,1,1,1,1,6.28571,0,8,1,1,7,3,0,4,0,66,3,9,4,1,0,2,40,12,1.25985,0.000772812,0.0364986,0.101967,0.0980091
org::apache::lucene::index::TermVectorEntry,0,1,1,0,0,1,1,1,1,1,1,1,63.2857,0,6,1,5,1,66,0,5,0,51,12,9,4,0,1,9,16,18,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
org::apache::lucene::index::TermVectorEntryFreqSortedComparator,0,1,1,0,0,1,1,1,1,1,1,1,63.2857,0,5,1,3,2,1,0,0,0,15,2,9,0,0,0,2,7,3,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
org::apache::lucene::index::TermVectorMapper,0,2,2,0,0,1,14,13,7,1,1,0.5,63.2857,13.6633,4,1,4,0,15,6,2,0,12,6,9,2,0,0,5,6,4,2.41614,0.0251721,0.00861283,0.0723787,0.0164911
org::apache::lucene::index::TermVectorOffsetInfo,1,0,3,0,0,3,32,25,10.6667,9,5,3,209.143,129.978,8,1,8,0,21,0,3,0,33,7,9,2,0,0,7,7,11,2.99256,0.0436665,0.00705617,0.0796972,0.00545641
org::apache::lucene::index::TermVectorsReader,0,15,27,7,0,8,731,179,27.0741,353,86,13.0741,241.714,144.604,13,1,3,10,105,0,15,0,313,15,18,8,6,0,1,73,58,17.9349,0.492822,0.0944703,0.591047,0.254187
org::apache::lucene::index::TermVectorsTermsWriter,1,2,2,0,1,1,1,1,0.5,2,1,1,11.7143,0,10,2,1,10,78,0,9,1,189,13,16,0,0,9,4,64,32,1.54522,0.000601081,0.0273145,0.0891453,0.0962259
org::apache::lucene::index::TermVectorsTermsWriterPerField,0,2,2,0,1,1,5,4,2.5,1,1,0.5,11.7143,2.05714,10,2,2,10,36,0,10,0,186,9,15,0,0,10,2,43,31,1.54522,0.00137637,0.0273145,0.0891453,0.0962259
org::apache::lucene::index::TermVectorsTermsWriterPerThread,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,3,2,2,2,21,0,7,0,42,7,13,0,0,7,5,12,10,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
